date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:48	25042/25042	---M-Z	200	added ('OK')	text/html	etag:%2261d2-5635178615b79-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html	(from )
19:40:48	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Jun%202019%2016:40:44%20GMT	http://pixfort.website/robots.txt		(from )
19:40:48	55968/55968	---M-Z	200	added ('OK')	text/css	etag:%22daa0-56351d07cbd67-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/menu.css	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/menu.css	(from http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html)
19:40:49	15490/15490	---M-Z	200	added ('OK')	text/css	etag:%223c82-56351d02b034c-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/flat-ui-slider.css	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/flat-ui-slider.css	(from http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html)
19:40:49	9246/9246	---M-Z	200	added ('OK')	text/css	etag:%22241e-56351d017c95d-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/base.css	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/base.css	(from http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html)
19:40:49	9843/9843	---M-Z	200	added ('OK')	text/css	etag:%222673-56351d089cd31-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/skeleton.css	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/skeleton.css	(from http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html)
19:40:50	170373/170373	---M-Z	200	added ('OK')	text/css	etag:%2229985-56351d059b48e-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/landings.css	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/landings.css	(from http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html)
19:40:50	33881/33881	---M-Z	200	added ('OK')	text/css	etag:%228459-56351d071b13f-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/main.css	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/main.css	(from http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html)
19:40:50	94468/94468	---M-Z	200	added ('OK')	text/css	etag:%2217104-56351d0521368-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/landings_layouts.css	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/landings_layouts.css	(from http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html)
19:40:51	6276/6276	---M-Z	200	added ('OK')	text/css	etag:%221884-56351d016331c-gzip%22	http://pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/box.css	C:/Users/Zver/Desktop/portfolio/rental/rental/pixfort.website/themeforest/landing/flatpack/23_car_rental/stylesheets/box.css	(from http://pixfort.website/themeforest/landing/flatpack/23_car_rental/23_car_rental.html)
